user_id,n_puzzles,game_type,first_date,last_date,start_rating,end_rating,delta_rating,rating_level,delta_percentile,quartile_min,quartile_max,unique_eco,ply_theoretical_avg,opening_gap_avg,opening_gap_above_7_ply_avg,inaccuracy_avg,mistake_avg,blunder_avg,acpl_avg,accuracy_avg,diff_opponent_avg,avg_time_opening,avg_time_middle,avg_time_end,wins_from_disadvantage_150,wins_from_disadvantage_150_outoftime,wins_from_disadvantage_200,wins_from_disadvantage_200_outoftime,draws_from_disadvantage_150,moves_after_disadvantage_150,moves_after_disadvantage_200,tot_resigned,tot_matches_disadvantage_150,tot_matches_disadvantage_200,tot_analysed_matches,tot_matches
kevin6765,105.0,blitz,2023-01-01,2025-08-16,1966,2034,68,advanced,75-100,41.0,689.0,98,4.016556291390729,1.6950276243093922,6.964285714285714,3.450331125827814,1.4161147902869755,2.252759381898455,56.83774834437086,78.80022075055187,102.08388520971305,1.5726605592910208,4.650233708170434,3.6263070554118433,162,61,143,57,18,22.03404255319149,20.27851851851852,199,705,675,906,14098
martele,32.0,blitz,2023-01-01,2025-08-15,2119,1989,-130,advanced,0-25,-1142.0,-78.0,121,6.67779632721202,0.986644407345576,2.1435406698564594,3.280467445742905,1.2621035058430718,1.7712854757929883,45.03338898163606,81.97161936560934,-7.153589315525877,2.736950605911573,9.247553102350658,6.314720670904151,91,31,72,23,30,15.519906323185012,14.06030150753769,285,427,398,599,8816
Shamelomumu432,817.0,blitz,2023-03-06,2025-08-12,2027,2053,26,advanced,50-75,-17.0,41.0,25,3.5283018867924527,0.8679245283018868,2.6666666666666665,3.39622641509434,1.3773584905660377,2.39622641509434,64.54716981132076,75.22641509433963,19.77358490566038,1.8796566494302345,3.409616342538432,2.7206799858328705,8,1,8,1,2,18.47826086956522,17.25,22,46,44,53,1361
Itachi_The_Pug,1651.0,blitz,2023-01-03,2025-05-30,1901,1880,-21,advanced,25-50,-78.0,-17.0,55,5.943333333333333,1.0366666666666666,2.8767123287671232,2.7533333333333334,1.15,1.6666666666666667,44.53666666666667,82.37666666666667,1.7066666666666668,2.1692657959741783,7.806207869582283,3.1156945551712325,98,26,79,21,4,17.036363636363635,16.104895104895103,55,165,143,300,4472
tolga48,474.0,blitz,2023-01-01,2025-08-15,2074,2099,25,advanced,50-75,-17.0,41.0,92,7.351473922902494,1.6848072562358276,2.6289592760180995,3.5941043083900226,1.403628117913832,2.2312925170068025,49.859410430839006,80.92063492063492,23.761904761904763,0.8335276625221287,6.818821805202671,4.042971723150743,88,32,78,30,19,21.39275766016713,19.608187134502923,115,359,342,441,5088
Balzabouth,1044.0,blitz,2023-01-13,2025-08-16,2058,1554,-504,advanced,0-25,-1142.0,-78.0,178,4.864134404674945,1.04163623082542,3.235500878734622,3.071044133476857,1.3039110154287763,2.0749910297811267,54.50340868317187,79.8249013275924,-52.46429852888411,3.2327972005078127,7.341921137751811,4.30356257285093,685,189,595,174,41,19.2942681678608,17.844686648501362,376,1954,1835,2787,29203
Europe01,1387.0,blitz,2023-04-23,2025-03-12,2009,2140,131,advanced,75-100,41.0,689.0,11,5.6923076923076925,0.9230769230769232,0.0,3.692307692307693,0.6923076923076923,1.3846153846153846,41.07692307692308,85.07692307692308,85.38461538461539,1.629136419136419,3.6488396398922713,2.408750104733976,4,1,4,1,0,30.0,27.77777777777778,3,9,9,13,15159
hykaruz,121.0,blitz,2023-01-02,2025-04-19,1843,1764,-79,advanced,0-25,-1142.0,-78.0,20,5.838709677419355,0.967741935483871,1.6666666666666667,4.32258064516129,1.4516129032258065,1.967741935483871,60.516129032258064,78.45161290322581,14.0,3.539076002850196,9.331714247191586,7.6734714055959135,4,1,3,1,0,16.925925925925927,15.32,14,27,25,31,3143
Kerbebos,101.0,blitz,2023-03-16,2025-08-16,2187,2131,-56,advanced,25-50,-78.0,-17.0,66,4.011023622047244,0.8596214511041009,2.3220338983050848,3.231496062992126,1.3590551181102362,2.133858267716536,51.96535433070866,79.90551181102362,8.658267716535432,2.246603575971631,5.642094978064539,4.692291827757224,137,36,115,33,5,17.614349775784753,15.498812351543943,151,446,421,635,8004
Lazarinho99,1802.0,blitz,2023-01-01,2025-08-15,2145,2123,-22,advanced,25-50,-78.0,-17.0,87,7.602661596958175,1.3346007604562735,2.323809523809524,2.70188679245283,1.1433962264150943,1.869811320754717,48.552830188679245,79.74150943396226,38.18490566037736,0.7473641151131323,5.530539349577476,4.410129211802278,80,22,66,19,20,15.248192771084335,13.341772151898734,261,415,395,530,11340
