user_id,n_puzzles,game_type,first_date,last_date,start_rating,end_rating,delta_rating,rating_level,delta_percentile,quartile_min,quartile_max
Ahmadullah,131.0,blitz,2023-01-01,2025-08-15,1882,1898,16,advanced,50-75,-17.0,41.0
escalated2,92.0,blitz,2024-02-24,2025-08-12,1889,1662,-227,advanced,0-25,-1142.0,-78.0
Prongs,4668.0,blitz,2024-07-17,2024-09-08,2193,2207,14,advanced,50-75,-17.0,41.0
Brayan1234567890,1833.0,blitz,2023-02-19,2025-07-18,1878,1813,-65,advanced,25-50,-78.0,-17.0
yamil9508,1758.0,blitz,2023-04-30,2025-06-29,1991,2195,204,advanced,75-100,41.0,689.0
Chiko0021,4771.0,blitz,2023-01-12,2025-08-14,1840,1828,-12,advanced,50-75,-17.0,41.0
luis_casad,10488.0,blitz,2023-01-01,2025-08-16,1816,1934,118,advanced,75-100,41.0,689.0
phemmiekuks2,5004.0,blitz,2023-03-01,2025-08-13,2033,1947,-86,advanced,0-25,-1142.0,-78.0
horacio-cadu,3.0,blitz,2023-01-03,2025-08-15,2070,2030,-40,advanced,25-50,-78.0,-17.0
coragem4,10.0,blitz,2023-01-01,2025-08-15,1862,1672,-190,advanced,0-25,-1142.0,-78.0
Skippyman,234.0,blitz,2023-01-01,2025-08-13,2054,2070,16,advanced,50-75,-17.0,41.0
joserivas,184.0,blitz,2023-01-09,2025-08-15,2105,1984,-121,advanced,0-25,-1142.0,-78.0
JohamyCS,1.0,blitz,2023-01-01,2025-08-15,2094,2001,-93,advanced,0-25,-1142.0,-78.0
JuanMariaCoAragon,94.0,blitz,2023-01-01,2025-08-14,2046,2010,-36,advanced,25-50,-78.0,-17.0
kisabanzira,937.0,blitz,2023-01-17,2025-08-12,1862,1851,-11,advanced,50-75,-17.0,41.0
japmoreira,,blitz,2023-01-01,2025-08-15,1824,1817,-7,advanced,50-75,-17.0,41.0
younesMohammed,5381.0,blitz,2023-01-01,2025-08-11,1910,1925,15,advanced,50-75,-17.0,41.0
chesspinamar,1117.0,blitz,2023-01-01,2025-08-14,1870,1806,-64,advanced,25-50,-78.0,-17.0
Luigi765,5352.0,blitz,2023-01-01,2025-08-13,1909,1955,46,advanced,75-100,41.0,689.0
amrsalah09,39.0,blitz,2023-01-13,2025-08-16,1815,1741,-74,advanced,25-50,-78.0,-17.0
Marabar,1230.0,blitz,2023-01-01,2025-07-29,1929,2001,72,advanced,75-100,41.0,689.0
kissfeco1949,3477.0,blitz,2023-01-06,2025-08-15,1911,1803,-108,advanced,0-25,-1142.0,-78.0
Karpitov,66.0,blitz,2023-01-01,2025-08-10,1861,1880,19,advanced,50-75,-17.0,41.0
KARPINKARPOV,103.0,blitz,2023-11-10,2025-06-09,2107,2102,-5,advanced,50-75,-17.0,41.0
Seallv,4686.0,blitz,2023-01-01,2025-08-15,2023,2073,50,advanced,75-100,41.0,689.0
Vladmirofernandes,27.0,blitz,2023-01-06,2025-08-09,1917,1917,0,advanced,50-75,-17.0,41.0
GrandLugix,552.0,blitz,2023-01-01,2025-08-01,1918,1944,26,advanced,50-75,-17.0,41.0
naron26,337.0,blitz,2023-02-26,2025-07-11,1844,1778,-66,advanced,25-50,-78.0,-17.0
CarlosPadierna,56.0,blitz,2023-01-21,2025-08-15,2060,2111,51,advanced,75-100,41.0,689.0
Kiabou,262.0,blitz,2023-01-01,2025-08-15,2075,2014,-61,advanced,25-50,-78.0,-17.0
Jamiu123,2248.0,blitz,2023-06-18,2025-08-05,1827,1885,58,advanced,75-100,41.0,689.0
julian1220,6188.0,blitz,2023-02-10,2025-05-25,1964,2048,84,advanced,75-100,41.0,689.0
Badmannelly,459.0,blitz,2023-02-03,2025-08-15,2149,2078,-71,advanced,25-50,-78.0,-17.0
TheSparkCraft,5628.0,blitz,2023-01-04,2025-05-12,1858,2048,190,advanced,75-100,41.0,689.0
elmell44,508.0,blitz,2023-01-01,2025-08-15,2047,2045,-2,advanced,50-75,-17.0,41.0
askerkhuazhev01,145.0,blitz,2023-01-02,2025-08-14,1925,1921,-4,advanced,50-75,-17.0,41.0
Chess_conqueror,164.0,blitz,2023-01-16,2025-08-15,2146,2062,-84,advanced,0-25,-1142.0,-78.0
Dragon_Warrior001,930.0,blitz,2023-01-14,2025-06-03,2026,2130,104,advanced,75-100,41.0,689.0
Eduardo-Lucad,21.0,blitz,2023-01-01,2025-08-13,1839,1803,-36,advanced,25-50,-78.0,-17.0
vadimdim,1397.0,blitz,2023-01-01,2025-07-20,1904,1866,-38,advanced,25-50,-78.0,-17.0
STONE-GOLD,389.0,blitz,2023-01-01,2025-08-14,1898,1962,64,advanced,75-100,41.0,689.0
wolfheat,1244.0,blitz,2023-01-01,2025-08-12,1975,1924,-51,advanced,25-50,-78.0,-17.0
hajikhaled,1760.0,blitz,2023-01-01,2025-08-15,1973,1942,-31,advanced,25-50,-78.0,-17.0
TAJBO4,430.0,blitz,2023-03-09,2025-08-04,1907,1853,-54,advanced,25-50,-78.0,-17.0
tergav,5436.0,blitz,2023-01-02,2025-08-07,1891,1975,84,advanced,75-100,41.0,689.0
zoki-pantelic,5.0,blitz,2023-09-04,2025-06-24,2019,1931,-88,advanced,0-25,-1142.0,-78.0
Johnchichi,146.0,blitz,2023-01-02,2025-08-08,2051,2030,-21,advanced,25-50,-78.0,-17.0
Irian-Jaya,10357.0,blitz,2023-07-11,2025-07-20,1887,1854,-33,advanced,25-50,-78.0,-17.0
LungaMalinga11,1307.0,blitz,2023-01-08,2025-08-13,1845,1930,85,advanced,75-100,41.0,689.0
aliyev_doc,206.0,blitz,2023-01-02,2025-08-11,1820,1592,-228,advanced,0-25,-1142.0,-78.0
Sacrifice_35,1712.0,blitz,2023-01-01,2025-08-15,2136,2140,4,advanced,50-75,-17.0,41.0
Galaz,164.0,blitz,2023-01-30,2025-06-16,1996,1829,-167,advanced,0-25,-1142.0,-78.0
SharAltryk,1246.0,blitz,2023-01-01,2025-08-04,2194,2209,15,advanced,50-75,-17.0,41.0
Lyrical_Genius,55.0,blitz,2023-03-08,2025-03-14,1976,1824,-152,advanced,0-25,-1142.0,-78.0
osuaza,5641.0,blitz,2023-01-03,2025-08-15,1843,1780,-63,advanced,25-50,-78.0,-17.0
tihanyin,770.0,blitz,2023-01-01,2025-08-15,1954,1957,3,advanced,50-75,-17.0,41.0
Narata,10615.0,blitz,2023-01-01,2025-08-15,1834,1841,7,advanced,50-75,-17.0,41.0
Thunder2021,49.0,blitz,2023-01-01,2025-08-16,2016,1891,-125,advanced,0-25,-1142.0,-78.0
Blindwerk,356.0,blitz,2023-01-01,2025-08-15,2119,2048,-71,advanced,25-50,-78.0,-17.0
ajgb,1543.0,blitz,2023-01-01,2025-07-30,1887,1832,-55,advanced,25-50,-78.0,-17.0
wrawro,2025.0,blitz,2023-01-05,2025-08-15,1949,1885,-64,advanced,25-50,-78.0,-17.0
Thirdgreekgod,252.0,blitz,2023-01-01,2025-08-09,2140,2312,172,advanced,75-100,41.0,689.0
